RptDt;TckrSymb;MktNm;SctyCtgyNm;TradgStartDt;TradgEndDt;ISIN;TradgCcy;SpcfctnCd;CrpnNm
21/09/21;ABBV34;EQUITY-CASH;BDR;14/07/21;31/12/99;BRABBVBDR001;BRL;DRN;ABBVIE INC.
21/09/21;ABCB4;EQUITY-CASH;SHARES;01/07/21;31/12/99;BRABCBACNPR4;BRL;PN      N2;BCO ABC BRASIL S.A.
21/09/21;ABCB4F;EQUITY-CASH;SHARES;01/07/21;31/12/99;BRABCBACNPR4;BRL;PN      N2;BCO ABC BRASIL S.A.
21/09/21;ABCB4T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;25/07/07;31/12/99;BRABCBTNP006;BRL;PN      N2;BCO ABC BRASIL S.A.
21/09/21;ABCP11;EQUITY-CASH;FUNDS;01/09/21;31/12/99;BRABCPCTF000;BRL;CI;FDO INV IMOB GRAND PLAZA SHOPPING
21/09/21;ABEV3;EQUITY-CASH;SHARES;14/01/21;31/12/99;BRABEVACNOR1;BRL;ON;AMBEV S.A.
21/09/21;ABEV3F;EQUITY-CASH;SHARES;14/01/21;31/12/99;BRABEVACNOR1;BRL;ON;AMBEV S.A.
21/09/21;ABEV3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;11/11/13;31/12/99;BRABEVTNO003;BRL;ON;AMBEV S.A.
21/09/21;ABTT34;EQUITY-CASH;BDR;14/07/21;31/12/99;BRABTTBDR007;BRL;DRN;ABBOTT LABORATORIES
21/09/21;ABUD34;EQUITY-CASH;BDR;04/05/21;31/12/99;BRABUDBDR009;BRL;DRN;ANHEUSER-BUSCH INBEV SA/NV
21/09/21;ACNB34;EQUITY-CASH;BDR;14/07/21;31/12/99;BRACNBBDR006;BRL;DRN;ACCENTURE PLC
21/09/21;ACWI11;EQUITY-CASH;ETF FOREIGN INDEX;29/01/21;31/12/99;BRACWICTF001;BRL;CI;TREND ETF MSCI ACWI FDO. INV. ÍNDICE - INVEST. EXT
21/09/21;ACWI11T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;29/01/21;31/12/99;BRACWITNM004;BRL;;
21/09/21;ADBE34;EQUITY-CASH;BDR;29/10/20;31/12/99;BRADBEBDR003;BRL;DRN;ADOBE INC
21/09/21;ADPR34;EQUITY-CASH;BDR;09/09/21;31/12/99;BRADPRBDR005;BRL;DRN;AUTOMATIC DATA PROCESSING INC
21/09/21;AERI3;EQUITY-CASH;SHARES;11/11/20;31/12/99;BRAERIACNOR4;BRL;ON      NM;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
21/09/21;AERI3F;EQUITY-CASH;SHARES;11/11/20;31/12/99;BRAERIACNOR4;BRL;ON      NM;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
21/09/21;AERI3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;11/11/20;31/12/99;BRAERITNO006;BRL;ON      NM;AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A
21/09/21;AESB3;EQUITY-CASH;SHARES;10/08/21;31/12/99;BRAESBACNOR7;BRL;ON      NM;AES BRASIL ENERGIA S.A.
21/09/21;AESB3F;EQUITY-CASH;SHARES;10/08/21;31/12/99;BRAESBACNOR7;BRL;ON      NM;AES BRASIL ENERGIA S.A.
21/09/21;AESB3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;29/03/21;31/12/99;BRAESBTNO009;BRL;ON      NM;AES BRASIL ENERGIA S.A.
21/09/21;AFCF11;EQUITY-CASH;FUNDS;31/12/99;31/12/99;BRAFCFCTF010;BRL;CI *;AFRICA FILMES S/C LTDA.
21/09/21;AFCR11;EQUITY-CASH;FUNDS;01/09/21;31/12/99;BRAFCRCTF007;BRL;CI;AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.
21/09/21;AFCV12;EQUITY-CASH;FUNDS;31/12/99;31/12/99;BRAFCVCTF025;BRL;CI  MORT;A F CINEMA E VIDEO LTDA
21/09/21;AFHI11;EQUITY-CASH;FUNDS;16/09/21;31/12/99;BRAFHICTF005;BRL;CI  ER;AF INVEST CRI FDO. INV. IMOB - RECEBÍVEIS IMOB.
21/09/21;AFLT3;EQUITY-CASH;SHARES;08/04/21;31/12/99;BRAFLTACNOR1;BRL;ON;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
21/09/21;AFLT3F;EQUITY-CASH;SHARES;08/04/21;31/12/99;BRAFLTACNOR1;BRL;ON;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
21/09/21;AFLT3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;25/10/10;31/12/99;BRAFLTTNO003;BRL;ON;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A
21/09/21;AFOF11;EQUITY-CASH;FUNDS;16/09/21;31/12/99;BRAFOFCTF007;BRL;CI  ER;ALIANZA FOF FUNDO DE INVESTIMENTO IMOBILIÁRIO
21/09/21;AFSF22;FUTURE;;30/07/21;30/12/21;BRBMEFAFS107;ZAR;;
21/09/21;AFSG22;FUTURE;;31/08/21;31/01/22;BRBMEFAFS115;ZAR;;
21/09/21;AFSV21;FUTURE;;30/04/21;30/09/21;BRBMEFAFS0X4;ZAR;;
21/09/21;AFSX21;FUTURE;;31/05/21;29/10/21;BRBMEFAFS0Y2;ZAR;;
21/09/21;AFSZ21;FUTURE;;30/06/21;30/11/21;BRBMEFAFS0Z9;ZAR;;
21/09/21;AGBK10;EQUITY-CASH;RECEIPTS;31/12/99;31/12/99;BRAGBKR01PR1;BRL;PN  REC;BANCO AGIBANK S.A.
21/09/21;AGBK11;EQUITY-CASH;UNIT;31/12/99;31/12/99;BRAGBKCDAM10;BRL;UNT;BANCO AGIBANK S.A.
21/09/21;AGBK4;EQUITY-CASH;SHARES;31/12/99;31/12/99;BRAGBKACNPR6;BRL;PN;BANCO AGIBANK S.A.
21/09/21;AGRA4;EQUITY-CASH;SHARES;31/12/99;31/12/99;BRAGRAACNPR3;BRL;PN *EG;AGRALE S/A
21/09/21;AGRO3;EQUITY-CASH;SHARES;19/10/20;31/12/99;BRAGROACNOR7;BRL;ON      NM;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
21/09/21;AGRO3F;EQUITY-CASH;SHARES;19/10/20;31/12/99;BRAGROACNOR7;BRL;ON      NM;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
21/09/21;AGRO3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;02/05/06;31/12/99;BRAGROTNO009;BRL;ON      NM;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS
21/09/21;AGXY3;EQUITY-CASH;SHARES;26/07/21;31/12/99;BRAGXYACNOR4;BRL;ON      NM;AGROGALAXY PARTICIPAÇÕES S.A.
21/09/21;AGXY3F;EQUITY-CASH;SHARES;26/07/21;31/12/99;BRAGXYACNOR4;BRL;ON      NM;AGROGALAXY PARTICIPAÇÕES S.A.
21/09/21;AGXY3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;26/07/21;31/12/99;BRAGXYTNO006;BRL;ON      NM;AGROGALAXY PARTICIPAÇÕES S.A.
21/09/21;AHEB3;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNOR0;BRL;ON;SAO PAULO TURISMO S.A.
21/09/21;AHEB3F;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNOR0;BRL;ON;SAO PAULO TURISMO S.A.
21/09/21;AHEB3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;16/11/88;31/12/99;BRAHEBTNO002;BRL;;
21/09/21;AHEB5;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNPA3;BRL;PNA;SAO PAULO TURISMO S.A.
21/09/21;AHEB5F;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNPA3;BRL;PNA;SAO PAULO TURISMO S.A.
21/09/21;AHEB5T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;02/09/88;31/12/99;BRAHEBTNA001;BRL;;
21/09/21;AHEB6;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNPB1;BRL;PNB;SAO PAULO TURISMO S.A.
21/09/21;AHEB6F;EQUITY-CASH;SHARES;18/02/20;31/12/99;BRAHEBACNPB1;BRL;PNB;SAO PAULO TURISMO S.A.
21/09/21;AHEB6T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;02/09/88;31/12/99;BRAHEBTNB009;BRL;;
21/09/21;AIEC11;EQUITY-CASH;FUNDS;01/09/21;31/12/99;BRAIECCTF009;BRL;CI;AUTONOMY EDIFÍCIOS CORPORATIVOS FUND. INV. IMOB.
21/09/21;AIGB34;EQUITY-CASH;BDR;15/09/21;31/12/99;BRAIGBBDR007;BRL;DRN ED;AMERICAN INTERNATIONAL GROUP INC.
21/09/21;AIRB34;EQUITY-CASH;BDR;01/02/21;31/12/99;BRAIRBBDR004;BRL;DRN;Airbnb Inc
21/09/21;ALLD3;EQUITY-CASH;SHARES;16/09/21;31/12/99;BRALLDACNOR3;BRL;ON  EDJ NM;ALLIED TECNOLOGIA S.A.
21/09/21;ALLD3F;EQUITY-CASH;SHARES;16/09/21;31/12/99;BRALLDACNOR3;BRL;ON  EDJ NM;ALLIED TECNOLOGIA S.A.
21/09/21;ALLD3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;12/04/21;31/12/99;BRALLDTNO005;BRL;ON  EDJ NM;ALLIED TECNOLOGIA S.A.
21/09/21;ALMI11;EQUITY-CASH;FUNDS;24/09/18;31/12/99;BRALMICTF003;BRL;CI;FDO INV IMOB - FII TORRE ALMIRANTE
21/09/21;ALPA3;EQUITY-CASH;SHARES;17/02/20;31/12/99;BRALPAACNOR0;BRL;ON      N1;ALPARGATAS S.A.
21/09/21;ALPA3F;EQUITY-CASH;SHARES;17/02/20;31/12/99;BRALPAACNOR0;BRL;ON      N1;ALPARGATAS S.A.
21/09/21;ALPA3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;19/03/73;31/12/99;BRALPATNO002;BRL;ON      N1;ALPARGATAS S.A.
21/09/21;ALPA4;EQUITY-CASH;SHARES;17/02/20;31/12/99;BRALPAACNPR7;BRL;PN      N1;ALPARGATAS S.A.
21/09/21;ALPA4F;EQUITY-CASH;SHARES;17/02/20;31/12/99;BRALPAACNPR7;BRL;PN      N1;ALPARGATAS S.A.
21/09/21;ALPA4T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;19/03/73;31/12/99;BRALPATNP009;BRL;PN      N1;ALPARGATAS S.A.
21/09/21;ALPK1;EQUITY-CASH;RIGHTS;10/09/21;06/10/21;BRALPKD01OR4;BRL;DIR ORD NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
21/09/21;ALPK1F;EQUITY-CASH;RIGHTS;10/09/21;06/10/21;BRALPKD01OR4;BRL;DIR ORD NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
21/09/21;ALPK3;EQUITY-CASH;SHARES;10/09/21;31/12/99;BRALPKACNOR9;BRL;ON  ES  NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
21/09/21;ALPK3F;EQUITY-CASH;SHARES;10/09/21;31/12/99;BRALPKACNOR9;BRL;ON  ES  NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
21/09/21;ALPK3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;15/05/20;31/12/99;BRALPKTNO001;BRL;ON  ES  NM;ALLPARK EMPREENDIMENTOS PARTICIPACOES SERVICOS S.A
21/09/21;ALSO3;EQUITY-CASH;SHARES;29/04/21;31/12/99;BRALSOACNOR5;BRL;ON      NM;ALIANSCE SONAE SHOPPING CENTERS S.A.
21/09/21;ALSO3F;EQUITY-CASH;SHARES;29/04/21;31/12/99;BRALSOACNOR5;BRL;ON      NM;ALIANSCE SONAE SHOPPING CENTERS S.A.
21/09/21;ALSO3T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;06/08/19;31/12/99;BRALSOTNO007;BRL;ON      NM;ALIANSCE SONAE SHOPPING CENTERS S.A.
21/09/21;ALTF3;EQUITY-CASH;SHARES;31/12/99;31/12/99;BRALTFACNOR1;BRL;ON;ALTHAIA S.A. INDUSTRIA FARMACEUTICA
21/09/21;ALUP11;EQUITY-CASH;UNIT;28/04/21;31/12/99;BRALUPCDAM15;BRL;UNT     N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP11F;EQUITY-CASH;UNIT;28/04/21;31/12/99;BRALUPCDAM15;BRL;UNT     N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP11T;EQUITY-DERIVATE;COMMON EQUITIES FORWARD;24/04/13;31/12/99;BRALUPTNU007;BRL;UNT     N2;ALUPAR INVESTIMENTO S/A
21/09/21;ALUP3;EQUITY-CASH;SHARES;28/04/21;31/12/99;BRALUPACNOR8;BRL;ON      N2;ALUPAR INVESTIMENTO S/A
